VETTPRO Platform: Definitive Production Feature Matrix,,,
,,,
,,,
,,,
Category,Feature Name,Detailed Line-by-Line Functionality,
,Vetting Check: Business Location - Physical Photo,A workflow for field agents to capture a geotagged and timestamped photo of a business's physical premises using a mobile device.,
,Vetting Check: Business Location - Geofence Analysis,The system automatically compares the captured GPS coordinates from a physical verification against pre-defined client geofences to confirm local operations.,
Active Vetting & Consent,Live Case Mission Board,"An interactive dashboard for tracking active cases, featuring an expandable timeline view for each case to visualize the status and dependencies of all individual checks.",
,AI Bottleneck Detection,"The system automatically identifies and visually flags cases that are stalled due to a single dependency (e.g., ""Awaiting Consent""), enabling proactive management.",
,Consent Management Hub,"A centralized dashboard to track all consent requests, featuring a visual ""Consent Journey"" stepper (Sent -> Opened -> Viewed -> Submitted) for each request.",
,Multi-Channel Consent Request,The system can send consent requests via SMS or Email and allows admins to switch channels for requests that are not being responded to.,
,Digital Signature Verification with AI Assist,"A modal for verifying submitted digital signatures, which displays the submitted signature side-by-side with a reference signature (e.g., from an ID copy) and provides a simulated ""Match Confidence"" score.",
RFP & Invoice Fraud Detection,Pre-Submission Fraud Check (RFP),Analyzes RFP documents for signs of fraudulent or collusive language patterns before they are even sent out to suppliers.,
,"""Invoice DNA"" Comparison Engine","A visual, side-by-side comparison of a submitted invoice against its corresponding RFP, highlighting discrepancies in line items, quantities, and pricing.",
,Post-Completion Billing Alert,"The system automatically flags any invoice that is submitted after the official project completion date specified in the RFP, a critical indicator of potential fraud.",
,Budget Deviation Analysis,Automatically calculates and flags the percentage deviation of an invoice's total amount compared to the original RFP's budget.,
,AI-Powered Invoice Anomaly Detection,"The LLM analyzes invoice data to detect statistical outliers, such as amounts that are significantly higher than the historical average for that supplier or service type.",
Field & Community Operations,Community Canvassing & Onboarding,"A dedicated module for field agents to register local community members, capturing their personal details, skills, qualifications, and contact information.",
,,"Includes a workflow to digitally capture consent from community members for pre-vetting, creating a pool of ""vetting-ready"" local talent.",
,Searchable Community Skills Database,"A master database of all canvassed community members, searchable and filterable by skillset, location, and vetting status for easy recruitment by clients.",
,Field Agent Management,"A module to manage the field agent workforce, assign tasks (location verifications, community canvassing), and monitor performance and task completion rates.",
